amount,velocity,failed_attempts,is_fraud,hour,day_of_week,currency_EUR,currency_INR,currency_USD,transactionType_PAYMENT,transactionType_TRANSFER,transactionType_WITHDRAW,channel_ATM,channel_CARD,channel_MOBILE,channel_NETBANKING,status_PENDING,status_SUCCESS
9297,3,1,0,21,2,1,0,0,1,0,0,0,1,0,0,0,1
10276,4,2,1,8,4,0,1,0,0,0,1,0,0,0,1,1,0
1834,2,3,1,12,4,1,0,0,0,1,0,0,0,1,0,1,0
158506,6,4,1,4,0,1,0,0,0,0,1,0,0,0,1,1,0
340,4,4,1,15,1,0,0,1,1,0,0,1,0,0,0,1,0
53969,6,2,1,8,2,0,0,1,0,0,1,0,0,0,1,1,0
2717,1,2,1,3,3,0,1,0,0,1,0,0,0,0,1,1,0
65315,0,1,1,3,5,1,0,0,1,0,0,1,0,0,0,1,0
15858,2,1,0,23,2,0,0,1,0,1,0,0,0,1,0,0,1
4968,4,2,1,11,2,0,0,1,1,0,0,0,0,1,0,1,0
4287,0,4,1,16,1,0,1,0,0,1,0,1,0,0,0,1,0
11557,6,2,1,5,4,0,1,0,0,1,0,0,0,1,0,1,0
9086,4,2,1,19,2,0,1,0,1,0,0,0,0,1,0,1,0
895,6,1,1,9,4,0,1,0,0,1,0,1,0,0,0,1,0
13455,2,3,1,6,3,1,0,0,0,0,1,0,1,0,0,1,0
842,6,3,1,16,2,1,0,0,0,1,0,1,0,0,0,1,0
895,3,4,1,16,5,0,1,0,0,0,1,1,0,0,0,1,0
76019,5,2,1,20,4,0,1,0,1,0,0,0,0,0,1,1,0
127534,0,1,1,14,0,0,1,0,0,1,0,1,0,0,0,1,0
11051,5,2,1,5,5,1,0,0,1,0,0,0,0,0,1,1,0
5857,2,1,0,8,6,0,0,1,1,0,0,0,0,1,0,0,1
4950,5,2,1,4,3,0,0,1,1,0,0,1,0,0,0,1,0
3033,3,2,1,9,1,0,0,1,0,0,1,0,0,1,0,1,0
